bands,wavelength [Hz],wavelength [Angstrom],color,reference_flux,sncosmo_name,label,effective_width [Hz]
grond::g,6.62656e+14,4527.23762,black,7.46875e-06,grond::g,GROND/g,2.18503e+05
grond::r,4.86935e+14,6160.98677,black,4.54945e-06,grond::r,GROND/r,1.92321e+05
grond::i,3.93522e+14,7623.45714,black,1.77334e-06,grond::i,GROND/i,3.18299e+05
grond::z,3.35271e+14,8947.99564,black,1.74805e-06,grond::z,GROND/z,2.34684e+05
grond::J,2.43222e+14,12334.41211,black,1.65587e-06,grond::J,GROND/J,1.30850e+05
grond::H,1.82844e+14,16407.47335,black,1.07394e-06,grond::H,GROND/H,1.13768e+05
grond::K,1.38611e+14,21643.31551,black,7.07469e-07,grond::K,GROND/K,9.90931e+04
efosc2::g,5.86549e+14,5114.66331,black,3.30207e-06,efosc2::g,EFOSC/g,3.80570e+05
efosc2::r,4.49277e+14,6677.39711,black,2.34201e-06,efosc2::r,EFOSC/r,3.14548e+05
efosc2::i,3.75789e+14,7983.20082,black,2.43536e-06,efosc2::i,EFOSC/i,2.12212e+05
euclid::vis,4.22335e+14,7103.37134,black,7.57706e-06,euclid::vis,EUCLID/VIS,9.04073e+04
euclid::Y,2.78154e+14,10785.39095,black,2.21005e-06,euclid::Y,EUCLID/Y,1.28618e+05
euclid::J,2.20254e+14,13620.63423,black,2.12292e-06,euclid::J,EUCLID/J,8.44104e+04
euclid::H,1.69983e+14,17648.79942,black,1.62313e-06,euclid::H,EUCLID/H,6.57364e+04
irac::I1,8.47975e+13,35378.41037,black,6.00561e-07,irac::I1,IRAC/I1,4.38842e+04
irac::I2,6.69935e+13,44780.48600,black,4.74299e-07,irac::I2,IRAC/I2,3.46824e+04
irac::I3,5.26669e+13,56961.78090,black,4.26897e-07,irac::I3,IRAC/I3,2.38831e+04
irac::I4,3.84722e+13,77978.39501,black,4.65258e-07,irac::I4,IRAC/I4,1.18631e+04
wise::W1,8.94828e+13,33526.00000,black,6.48523e-07,wise::W1,WISE/W1,4.52733e+04
wise::W2,6.51777e+13,46028.00000,black,5.42857e-07,wise::W2,WISE/W2,2.87834e+04
wise::W3,2.59498e+13,115608.00000,black,4.75685e-07,wise::W3,WISE/W3,5.44907e+03
wise::W4,1.35819e+13,220883.00000,black,9.23729e-08,wise::W4,WISE/W4,7.31408e+03
