#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## Trig_time_met: The BAT trigger time shown in the Swift machine time (MET), in unit of sec.
## Trig_time_UTC: The BAT trigger time shown in UTC.
## RA_ground: RA of the GRB from the BAT refined position, in unite of deg.
## DEC_ground: DEC of the GRB from the BAT refined position, in unit of deg.
## Image_position_err: The uncertainty of the BAT refined position, in unit of arcmin.
## Image_SNR: The signal-to-noise ratio of the detection from the BAT image.
## T90: Burst duration T90, in unit of sec.
## T90_err: The uncertainty of T90.
## T50: Burst duration T90, in unit of sec.
## T50_err: The uncertainty of T50.
## Evt_start_sincetrig: The time when the event data start, relative to the BAT trigger time, in unit of sec.
## Evt_stop_sincetrig: The time when the event data end, relative to the BAT trigger time, in unit of sec.
## pcode: Partial coding fraction of the burst.
## Trigger_method: The triggering method for the burst (rate trigger, image trigger, ground detected, or ground detected during slew).
## XRT_detection: Whether or not there is an XRT detection of the burst.
## comment: Other special comments.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | Trig_time_met |       Trig_time_UTC        |  RA_ground   |  DEC_ground   | Image_position_err |   Image_SNR  |     T90      |   T90_err    |     T50      |   T50_err    | Evt_start_sincetrig | Evt_stop_sincetrig | pcode  | Trigger_method | XRT_detection | comment
GRB191017B   |    929981    | 593015790.656 | 2019-10-17T14:36:06.891740 | 2.451152e+02 | -7.358520e+01 |    1.733841e+00    | 1.385724e+01 | 4.328000e+00 | 5.712057e-01 | 2.040000e+00 | 5.745120e-01 |         -120        |         962       | 0.4414 | rate trigger | Yes |    
GRB191016A   |    929744    | 592891764.672 | 2019-10-16T04:09:00.915720 | 3.027609e+01 |  2.449786e+01 |    9.338545e-01    | 3.354105e+01 | 1.266800e+02 | 7.727980e+00 | 4.610800e+01 | 3.498137e+00 |         -240        |         962       | 0.6484 | rate trigger | Yes |    
GRB191011A   |    928924    | 592461380.160 | 2019-10-11T04:35:56.431400 | 4.472903e+01 | -2.785373e+01 |    1.451834e+00    | 1.785701e+01 | 7.352000e+00 | 9.371702e-01 | 3.156000e+00 | 1.873862e+00 |         -239        |         1961       | 0.9609 | rate trigger | Yes |    
GRB191004B   |    927839    | 591917645.376 | 2019-10-04T21:33:41.682300 | 4.920096e+01 | -3.963569e+01 |    6.495837e-01    | 5.633554e+01 | 3.001280e+02 | 8.182884e+01 | 3.192400e+01 | 2.776655e+01 |         -239        |         963       | 0.9766 | rate trigger | Yes |    
GRB191004A   |    927825    | 591905246.556 | 2019-10-04T18:07:02.863100 | 3.171398e+01 | -3.693097e+01 |    1.075790e+00    | 2.740270e+01 | 2.444000e+00 | 8.236510e-02 | 1.776000e+00 | 6.511529e-02 |         -240        |         963       | 0.2617 | rate trigger | Yes |    
GRB191001B   |    927345    | 591643184.000 | 2019-10-01T17:19:20.323880 | 8.635829e+01 | -1.589590e+01 |    3.292839e+00    | 5.542834e+00 | 1.071360e+02 | 9.354354e+00 | 5.872000e+01 | 1.228568e+01 |         -239        |         963       | 0.3477 | image trigger | No |    Tentative detection.
GRB190926A   |    926515    | 591184360.000 | 2019-09-26T09:52:16.353280 | 1.006155e+02 |  5.953175e+01 |    2.282013e+00    | 9.359130e+00 | 3.623400e+02 | 1.960651e+01 | 1.871440e+02 | 1.166394e+02 |         -239        |         963       | 0.5000 | image trigger | Yes |    
GRB190829A   |    922968    | 588801428.096 | 2019-08-29T19:56:44.601720 | 4.454187e+01 | -8.957890e+00 |    1.930355e+00    | 1.188680e+01 | 5.689600e+01 | 4.700110e+01 | 4.288000e+00 | 1.317841e+00 |         -239        |         963       | 0.0425 | rate trigger | Yes |
GRB190828B   |    922808    | 588690022.912 | 2019-08-28T12:59:59.424820 | 2.518388e+02 |  2.728737e+01 |    9.766538e-01    | 3.146115e+01 | 7.158560e+02 | 4.519719e+02 | 2.971200e+01 | 4.120427e+00 |         -622        |         1919       | 1.0156 | rate trigger | Yes |    
GRB190824A   |    922107    | 588350823.040 | 2019-08-24T14:46:39.574480 | 2.153234e+02 | -4.189986e+01 |    1.709627e+00    | 1.413846e+01 | 1.693600e+02 | 5.854710e+00 | 5.182400e+01 | 9.756511e+00 |         -239        |         963       | 0.2852 | rate trigger | Yes |    
GRB190821A   |    921722    | 588100227.328 | 2019-08-21T17:10:03.878460 | 2.500702e+02 | -3.402652e+01 |    1.326330e+00    | 2.031897e+01 | 5.709600e+01 | 2.596151e+00 | 3.268400e+01 | 2.390036e+00 |         -239        |         963       | 0.8359 | rate trigger | Yes |    
GRB190816A   |    920783    | 587659368.000 | 2019-08-16T14:42:24.578600 | 3.411816e+02 | -2.974461e+01 |    1.668653e+00    | 1.463702e+01 | 3.757600e+02 | 9.222019e+01 | 1.504480e+02 | 1.078733e+01 |         -862        |         963       | 0.3086 | image trigger | Yes |    
